시간,시가,고가,저가,종가,5_종가,10_종가,20_종가,60_종가,120_종가,거래량,5_거래량,10_거래량,20_거래량,60_거래량,120_거래량
"01/29,13:29","74,600","74,700","74,600","74,600","74,600.00","74,610.00","74,625.00","74,520.00","74,509.17","11,763","9,664.60","8,434.30","13,444.75","12,941.18","14,674.86"
"01/29,13:28","74,600","74,700","74,600","74,600","74,600.00","74,620.00","74,625.00","74,518.33","74,509.17","15,225","9,012.40","7,650.40","12,990.50","12,814.88","14,601.33"
"01/29,13:27","74,700","74,700","74,600","74,600","74,600.00","74,630.00","74,625.00","74,515.00","74,508.33","8,290","6,957.80","6,777.00","12,348.65","12,642.48","14,518.69"
"01/29,13:26","74,700","74,700","74,600","74,600","74,600.00","74,630.00","74,620.00","74,513.33","74,508.33","8,697","7,089.80","6,411.10","12,808.15","12,562.18","14,842.71"
"01/29,13:25","74,600","74,700","74,600","74,600","74,620.00","74,640.00","74,620.00","74,511.67","74,507.50","4,348","6,531.40","6,391.90","12,819.15","12,486.67","15,441.29"
"01/29,13:24","74,700","74,700","74,600","74,600","74,620.00","74,640.00","74,620.00","74,508.33","74,506.67","8,502","7,204.00","6,471.60","12,705.50","12,483.62","15,512.99"
"01/29,13:23","74,600","74,700","74,600","74,600","74,640.00","74,650.00","74,615.00","74,505.00","74,505.00","4,952","6,288.40","5,941.90","12,390.80","12,436.30","15,469.74"
"01/29,13:22","74,600","74,700","74,600","74,600","74,660.00","74,650.00","74,610.00","74,501.67","74,504.17","8,950","6,596.20","6,074.70","12,316.05","12,397.82","15,602.59"
"01/29,13:21","74,700","74,700","74,600","74,700","74,660.00","74,660.00","74,605.00","74,498.33","74,503.33","5,905","5,732.40","6,734.40","12,032.15","12,319.02","15,782.14"
"01/29,13:20","74,700","74,700","74,600","74,600","74,660.00","74,650.00","74,595.00","74,495.00","74,501.67","7,711","6,252.40","17,353.10","12,347.40","13,515.02","15,758.21"
"01/29,13:19","74,700","74,700","74,600","74,700","74,660.00","74,640.00","74,595.00","74,493.33","74,500.00","3,924","5,739.20","18,455.20","12,224.45","13,466.27","15,883.87"
"01/29,13:18","74,600","74,700","74,600","74,700","74,660.00","74,630.00","74,585.00","74,490.00","74,498.33","6,491","5,595.40","18,330.60","12,184.40","13,472.67","16,102.52"
"01/29,13:17","74,600","74,700","74,600","74,600","74,640.00","74,620.00","74,580.00","74,486.67","74,496.67","4,631","5,553.20","17,920.30","12,481.30","13,430.48","16,272.38"
"01/29,13:16","74,700","74,700","74,600","74,700","74,660.00","74,610.00","74,575.00","74,486.67","74,495.83","8,505","7,736.40","19,205.20","12,719.30","13,393.70","16,377.26"
"01/29,13:15","74,700","74,700","74,600","74,600","74,640.00","74,600.00","74,565.00","74,483.33","74,494.17","5,145","28,453.80","19,246.40","17,586.40","13,310.35","16,603.38"
"01/29,13:14","74,700","74,700","74,600","74,700","74,620.00","74,600.00","74,555.00","74,483.33","74,493.33","3,205","31,171.20","18,939.40","17,734.35","13,262.03","16,680.54"
"01/29,13:13","74,700","74,700","74,600","74,600","74,600.00","74,580.00","74,540.00","74,481.67","74,492.50","6,280","31,065.80","18,839.70","17,867.70","13,642.98","16,789.03"
"01/29,13:12","74,600","74,700","74,600","74,700","74,600.00","74,570.00","74,530.00","74,483.33","74,491.67","15,547","30,287.40","18,557.40","17,763.65","13,663.82","17,217.06"
"01/29,13:11","74,500","74,700","74,500","74,600","74,560.00","74,550.00","74,515.00","74,481.67","74,490.00","112,092","30,674.00","17,329.90","17,069.00","13,510.75","17,116.84"
"01/29,13:10","74,600","74,600","74,500","74,500","74,560.00","74,540.00","74,505.00","74,481.67","74,489.17","18,732","10,039.00","7,341.70","11,577.20","13,811.27","16,201.33"
"01/29,13:09","74,600","74,600","74,500","74,600","74,580.00","74,550.00","74,500.00","74,483.33","74,489.17","2,678","6,707.60","5,993.70","10,906.55","13,561.67","16,266.81"
"01/29,13:08","74,500","74,600","74,500","74,600","74,560.00","74,540.00","74,490.00","74,481.67","74,488.33","2,388","6,613.60","6,038.20","11,007.10","13,560.25","16,614.33"
"01/29,13:07","74,500","74,600","74,500","74,500","74,540.00","74,540.00","74,485.00","74,481.67","74,487.50","17,480","6,827.40","7,042.30","11,110.10","13,571.87","16,685.02"
"01/29,13:06","74,600","74,600","74,500","74,600","74,540.00","74,540.00","74,480.00","74,481.67","74,487.50","8,917","3,985.80","6,233.40","10,628.35","15,435.92","16,820.24"
"01/29,13:05","74,500","74,600","74,500","74,600","74,520.00","74,530.00","74,475.00","74,480.00","74,485.83","2,075","4,644.40","15,926.40","10,318.15","15,357.80","17,574.66"
"01/29,13:04","74,600","74,600","74,500","74,500","74,520.00","74,510.00","74,465.00","74,480.00","74,484.17","2,208","5,279.80","16,529.30","10,386.90","15,452.12","18,498.63"
"01/29,13:03","74,500","74,600","74,500","74,500","74,520.00","74,500.00","74,465.00","74,480.00","74,485.00","3,457","5,462.80","16,895.70","10,372.35","15,470.45","18,516.98"
"01/29,13:02","74,600","74,600","74,500","74,500","74,540.00","74,490.00","74,465.00","74,480.00","74,485.83","3,272","7,257.20","16,969.90","10,361.35","15,833.22","18,535.85"
"01/29,13:01","74,600","74,600","74,500","74,500","74,540.00","74,480.00","74,460.00","74,480.00","74,486.67","12,210","8,481.00","16,808.10","10,503.70","17,164.27","18,563.06"
"01/29,13:00","74,600","74,600","74,500","74,600","74,540.00","74,470.00","74,455.00","74,480.00","74,486.67","5,252","27,208.40","15,812.70","13,281.85","17,022.35","18,527.60"
"01/29,12:59","74,500","74,600","74,500","74,500","74,500.00","74,450.00","74,440.00","74,478.33","74,485.83","3,123","27,778.80","15,819.40","13,329.40","17,060.77","18,529.44"
"01/29,12:58","74,600","74,600","74,500","74,600","74,480.00","74,440.00","74,435.00","74,478.33","74,485.83","12,429","28,328.60","15,976.00","15,914.35","18,618.48","18,527.98"
"01/29,12:57","74,500","74,600","74,500","74,500","74,440.00","74,430.00","74,425.00","74,476.67","74,485.00","9,391","26,682.60","15,177.90","15,853.00","18,477.70","19,027.21"
"01/29,12:56","74,400","74,500","74,400","74,500","74,420.00","74,420.00","74,425.00","74,475.00","74,486.67","105,847","25,135.20","15,023.30","16,014.50","18,398.37","18,985.96"
"01/29,12:55","74,400","74,500","74,400","74,400","74,400.00","74,420.00","74,425.00","74,475.00","74,488.33","8,104","4,417.00","4,709.90","12,487.05","16,704.13","18,212.38"
"01/29,12:54","74,400","74,500","74,400","74,400","74,400.00","74,420.00","74,425.00","74,476.67","74,490.00","5,872","3,860.00","4,244.50","12,416.75","16,631.37","18,467.67"
"01/29,12:53","74,400","74,500","74,400","74,400","74,400.00","74,430.00","74,430.00","74,476.67","74,491.67","4,199","3,623.40","3,849.00","12,370.25","16,579.05","18,648.63"
"01/29,12:52","74,500","74,500","74,400","74,400","74,420.00","74,440.00","74,430.00","74,476.67","74,493.33","1,654","3,673.20","3,752.80","14,341.80","16,619.35","18,688.16"
"01/29,12:51","74,500","74,500","74,400","74,400","74,420.00","74,440.00","74,430.00","74,478.33","74,494.17","2,256","4,911.40","4,199.30","14,397.15","17,149.00","19,536.72"
"01/29,12:50","74,500","74,500","74,400","74,400","74,440.00","74,440.00","74,435.00","74,480.00","74,495.00","5,319","5,002.80","10,751.00","14,482.05","17,238.75","19,606.89"
"01/29,12:49","74,400","74,500","74,400","74,400","74,440.00","74,430.00","74,435.00","74,481.67","74,495.83","4,689","4,629.00","10,839.40","14,472.25","17,272.95","19,667.51"
"01/29,12:48","74,400","74,500","74,400","74,500","74,460.00","74,430.00","74,440.00","74,481.67","74,496.67","4,448","4,074.60","15,852.70","14,447.05","17,271.28","19,699.88"
"01/29,12:47","74,400","74,500","74,400","74,400","74,460.00","74,420.00","74,435.00","74,480.00","74,496.67","7,845","3,832.40","16,528.10","14,468.70","17,259.93","20,608.44"
"01/29,12:46","74,500","74,500","74,400","74,500","74,460.00","74,430.00","74,440.00","74,480.00","74,498.33","2,713","3,487.20","17,005.70","14,250.05","17,204.75","20,649.83"
"01/29,12:45","74,400","74,500","74,400","74,400","74,440.00","74,430.00","74,440.00","74,478.33","74,499.17","3,450","16,499.20","20,264.20","14,322.70","17,247.15","20,690.73"
"01/29,12:44","74,500","74,500","74,400","74,500","74,420.00","74,430.00","74,440.00","74,478.33","74,500.83","1,917","17,049.80","20,589.00","14,358.45","17,255.12","20,750.44"
"01/29,12:43","74,400","74,500","74,400","74,500","74,400.00","74,430.00","74,435.00","74,476.67","74,502.50","3,237","27,630.80","20,891.50","14,545.75","17,283.97","20,807.27"
"01/29,12:42","74,400","74,500","74,400","74,400","74,380.00","74,420.00","74,430.00","74,476.67","74,503.33","6,119","29,223.80","24,930.80","14,516.05","17,305.68","20,843.37"
"01/29,12:41","74,300","74,500","74,300","74,400","74,400.00","74,420.00","74,430.00","74,478.33","74,505.00","67,773","30,524.20","24,595.00","14,421.20","17,272.60","20,922.89"
"01/29,12:40","74,400","74,400","74,300","74,300","74,420.00","74,430.00","74,435.00","74,480.00","74,506.67","6,203","24,029.20","18,213.10","14,915.80","16,380.50","20,773.12"
"01/29,12:39","74,400","74,500","74,300","74,400","74,440.00","74,440.00","74,445.00","74,483.33","74,509.17","54,822","24,128.20","18,105.10","14,844.95","17,927.43","21,001.07"
"01/29,12:38","74,400","74,500","74,400","74,400","74,460.00","74,450.00","74,450.00","74,485.00","74,510.00","11,202","14,152.20","13,041.40","12,319.25","17,556.27","20,576.45"
"01/29,12:37","74,400","74,500","74,400","74,500","74,460.00","74,450.00","74,455.00","74,486.67","74,510.83","12,621","20,637.80","12,409.30","11,957.15","17,463.27","20,530.88"
"01/29,12:36","74,400","74,500","74,400","74,500","74,440.00","74,450.00","74,460.00","74,488.33","74,511.67","35,298","18,665.80","11,494.40","11,447.30","17,332.95","20,443.22"
